Date,MinTemp,MaxTemp,AvgTemp,Precip
2025-12-01,17.2,21.9,19.1,1.5
2025-12-02,16.6,26.6,20.6,12.5
2025-12-03,15.8,28.5,21.1,0.2
2025-12-04,15.0,24.1,18.3,0.0
2025-12-05,13.6,28.5,20.3,0.0
2025-12-06,16.0,31.3,21.9,0.0
2025-12-07,14.3,32.8,22.8,0.0
2025-12-08,16.1,31.0,24.5,12.19
2025-12-12,12.2,24.7,17.4,14.5
2025-12-13,16.6,26.8,21.3,0.0
2025-12-14,17.9,27.2,21.9,5.31
2025-12-15,19.8,30.3,25.3,0.0
2025-12-16,15.6,28.6,22.3,14.5
2025-12-17,14.3,18.2,15.7,0.0
2025-12-18,12.3,26.0,18.7,0.0
2025-12-19,11.5,29.5,21.4,0.0
